,dateSold,propertyType,lotAreaValue,address,daysOnZillow,price,listingDateTime,longitude,latitude,contingentListingType,listingStatus,zpid,imgSrc,livingArea,bathrooms,lotAreaUnit,country,currency,bedrooms,hasImage,listingSubType
0,,APARTMENT,,"20 S Clark St FLOOR 11-ID502, Chicago, IL 60603",-1.0,2850.0,,-87.63122,41.881287,,FOR_RENT,2067394606,https://photos.zillowstatic.com/fp/04822e585869c98468fb66b6c8486ae1-p_e.jpg,882.0,1.0,,USA,USD,1.0,True,
1,,APARTMENT,,"55 E Chicago Ave FLOOR 9-ID162, Chicago, IL 60611",-1.0,3250.0,,-87.62588,41.896713,,FOR_RENT,2072030194,https://photos.zillowstatic.com/fp/81560ed186c24bd77e5f894864f20d39-p_e.jpg,824.0,1.0,,USA,USD,1.0,True,
2,,APARTMENT,,"41 E Chestnut St FLOOR 6-ID542, Chicago, IL 60610",-1.0,3530.0,,-87.629845,41.89799,,FOR_RENT,2064136250,https://photos.zillowstatic.com/fp/99780b9a1f5b0dfdd0f7ca3545a583b8-p_e.jpg,914.0,2.0,,USA,USD,2.0,True,
3,,,,"4875 N Magnolia Ave, Chicago, IL",,,,,,,,41.971233--87.66075,https://photos.zillowstatic.com/fp/510dfb52aac02f5e5cda76c7b4b72cc2-p_e.jpg,,,,,,,True,
4,,APARTMENT,,"5335-5337 S. Woodlawn Avenue, 5335 S Woodlawn Ave #5337-2, Chicago, IL 60615",-1.0,3280.0,,-87.596176,41.79842,,FOR_RENT,2070194982,https://photos.zillowstatic.com/fp/505c5d8b42766ca45f3c5551e0665642-p_e.jpg,1516.0,2.0,,USA,USD,4.0,True,
5,,,,"7645 N Sheridan Rd, Chicago, IL",,,,,,,,42.020683--87.66603,https://photos.zillowstatic.com/fp/b8d8c799152bc537f90c6f76ff2ebea9-p_e.jpg,,,,,,,True,
6,,,,"626 W Patterson Ave, Chicago, IL",,,,,,,,41.948757--87.64729,https://photos.zillowstatic.com/fp/8c0ff3c827ef6396ff4f3608f7c29eb1-p_e.jpg,,,,,,,True,
7,,,,"4721-29 S Ellis Ave, Chicago, IL",,,,,,,,41.80883--87.60102,https://photos.zillowstatic.com/fp/c90e150fb492b3a58bdb2d48bb2a31b4-p_e.jpg,,,,,,,True,
8,,,,"910 W Dakin St, Chicago, IL",,,,,,,,41.953857--87.65278,https://photos.zillowstatic.com/fp/ee1aff40bd3f087c04817bf31bf52146-p_e.jpg,,,,,,,True,
9,,,,"510 W Belmont Ave, Chicago, IL",,,,,,,,41.940403--87.64274,https://photos.zillowstatic.com/fp/d17ea8bd90b3bf6fb45146b73838c638-p_e.jpg,,,,,,,True,
10,,,,"3833 N Broadway St, Chicago, IL",,,,,,,,41.952225--87.64943,https://photos.zillowstatic.com/fp/85400217d405ab5521d4454ffaff2c14-p_e.jpg,,,,,,,True,
11,,APARTMENT,,"828 W. Fullerton, 828 W Fullerton Ave, Chicago, IL 60614",-1.0,1225.0,,-87.649925,41.925873,,FOR_RENT,2066698245,https://photos.zillowstatic.com/fp/0cb6421c5a3e977748e95484477db088-p_e.jpg,,1.0,,USA,USD,0.0,True,
12,,,,"1250 N Lasalle St, Chicago, IL",,,,,,,,41.90522--87.633224,https://photos.zillowstatic.com/fp/e03e7956314a1311c98afc10b74e1399-p_e.jpg,,,,,,,True,
13,,APARTMENT,,"6700 S Indiana, 6700 S Indiana Ave #121-3, Chicago, IL 60637",-1.0,1050.0,,-87.62075,41.77265,,FOR_RENT,2065130392,https://photos.zillowstatic.com/fp/8242d07e74ab287c6d15d8c0b5b2d5d6-p_e.jpg,600.0,1.0,,USA,USD,1.0,True,
14,,,,"1950 N Campbell Ave, Chicago, IL",,,,,,,,41.916946--87.68982,https://photos.zillowstatic.com/fp/794da98d061910d558eaa67ec6fc11bd-p_e.jpg,,,,,,,True,
15,,APARTMENT,,"634 W Cornelia, 634 W Cornelia Ave, Chicago, IL 60657",-1.0,1549.0,,-87.64605,41.94593,,FOR_RENT,2093249626,https://photos.zillowstatic.com/fp/5717e3b57b72da3341af2d373383c902-p_e.jpg,580.0,1.0,,USA,USD,1.0,True,
16,,,,"1123 W Wilson Ave, Chicago, IL",,,,,,,,41.978313--87.66672,https://photos.zillowstatic.com/fp/07d5f260c2f59808419c23413f5b0de4-p_e.jpg,,,,,,,True,
17,,APARTMENT,,"5320-5326.5 S. Drexel Boulevard, 5320-5326.5 S Drexel Ave #26-2B, Chicago, IL 60615",-1.0,1570.0,,-87.60388,41.808617,,FOR_RENT,2064354648,https://photos.zillowstatic.com/fp/94eab5304f267f3b587e438f7bbc1e30-p_e.jpg,619.0,1.0,,USA,USD,1.0,True,
18,,,,"2133 W Concord Pl, Chicago, IL",,,,,,,,41.91106--87.68147,https://photos.zillowstatic.com/fp/2bfd13042093d7a0636d3897e5596e55-p_e.jpg,,,,,,,True,
19,,,,"5860 N Kenmore Ave, Chicago, IL",,,,,,,,41.989124--87.657166,https://photos.zillowstatic.com/fp/99b464e79706c3e1bbac030c67d80829-p_e.jpg,,,,,,,True,
20,,,,"639-55 W Grace St, Chicago, IL",,,,,,,,41.951607--87.64649,https://photos.zillowstatic.com/fp/2a516d4dc299ac6a1b7882d59c1fb1e7-p_e.jpg,,,,,,,True,
21,,APARTMENT,,"1334 N. Cleaver St., 1334 N Cleaver St APT 1, Chicago, IL 60642",-1.0,4000.0,,-87.66419,41.906197,,FOR_RENT,2134129757,https://photos.zillowstatic.com/fp/065760f93f9d341d5bfb11897d842813-p_e.jpg,,3.0,,USA,USD,4.0,True,
